Name,Color,Current price,Price with citilink card,Url
Ноутбук Acer Aspire 3 A315-56-523A,черный,47 990,47 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-523a-15-6-intel-core-i5-1035g1-1-0ggc-8g-1194683/
Ноутбук HP 15s-eq1129ur,серый,27 990,27 890,https://www.citilink.ru/product/noutbuk-hp-15s-eq1129ur-3020e-4gb-ssd256gb-15-6-ips-fhd-dos-grey-1627554/
Ноутбук MSI Pulse GL76 11UCK-247RU,серый,113 990,113 890,https://www.citilink.ru/product/noutbuk-msi-pulse-gl76-11uck-i5-11400h-8gb-ssd512gb-rtx-3050-4gb-17-3-1525968/
Ноутбук ASUS X515JF-BR241T,серый,37 990,37 790,https://www.citilink.ru/product/noutbuk-asus-x515jf-br241t-pen-6805-4gb-ssd128gb-mx130-2gb-15-6-tn-hd-1564799/
Ноутбук Acer Aspire 1 A115-32-C7FK,серебристый,22 990,22 890,https://www.citilink.ru/product/noutbuk-acer-aspire-1-a115-32-c7fk-15-6-intel-celeron-n4500-4gb-128gb-1439506/
Ноутбук IRBIS NB NB615,черный,38 990,38 940,https://www.citilink.ru/product/noutbuk-irbis-nb-nb615-i3-1005g1-16gb-1tb-ssd128gb-15-6-ips-fhd-w10-bl-1561503/
Ноутбук Acer Aspire 5 A515-45-R72B,серебристый,52 990,52 890,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r72b-ryzen-5-5500u-8gb-ssd512gb-15-6-ips-1521433/
Ноутбук CHUWI Corebook X 14/16/512,серый,36 990,36 890,https://www.citilink.ru/product/noutbuk-chuwi-corebook-x-i3-10110u-16gb-ssd512gb-14-ips-2k-w11h-1775351/
Ноутбук Acer Aspire 5 A515-45-R9CK,серебристый,54 990,54 890,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r9ck-i7-5500u-8gb-ssd128gb-15-6-ips-fhd-1521436/
Ноутбук-трансформер IRBIS NB NB119 YOGA,черный,15 990,15 890,https://www.citilink.ru/product/noutbuk-irbis-nb-nb119-cel-n3350-4gb-emmc64gb-11-6-ips-touch-hd-w10h-b-1512569/
Ноутбук iRU Калибр 15Y,черный,47 990,47 890,https://www.citilink.ru/product/noutbuk-iru-kalibr-15y-i7-8550u-16gb-ssd500gb-620-15-6-fhd-dos-black-1657837/
Ноутбук MSI Pulse GL76 11UDK-235RU,серый,105 490,105 390,https://www.citilink.ru/product/noutbuk-msi-pulse-gl76-11udk-i5-11400h-8gb-ssd512gb-rtx-3050-ti-4gb-17-1525980/
Ноутбук ASUS TUF Gaming Dash FX516PC-HN107,серый,92 990,92 890,https://www.citilink.ru/product/noutbuk-asus-tuf-dash-fx516pc-hn107-i5-11300h-16gb-ssd512gb-rtx-3050-4-1742392/
Ноутбук Acer Aspire 5 A515-45-R1NJ,черный,50 990,50 890,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r1nj-ryzen-5-5500u-8gb-ssd512gb-15-6-ips-1521508/
Ноутбук Acer Nitro 5 AN515-57-51GK,черный,99 990,99 890,https://www.citilink.ru/product/noutbuk-acer-aspire-an515-57-51gk-i5-11400h-16gb-ssd512gb-rtx-3050-ti-1618861/
Ноутбук ASUS TUF Gaming A15 FA506IC-HN042W,серый,85 990,85 890,https://www.citilink.ru/product/noutbuk-asus-tuf-gaming-fa506ic-hn042w-ryzen-5-4600h-8gb-ssd512gb-rtx-1654771/
Ноутбук Acer Aspire 5 A515-45-R5K7,черный,46 990,46 890,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r5k7-ryzen-5-5500u-8gb-ssd128gb-15-6-ips-1521505/
Ноутбук Prestigio SmartBook 133C4,темно-серый,21 990,21 890,https://www.citilink.ru/product/noutbuk-prestigio-smartbook-133c4-14-1-amd-a4-9120e-4gb-64gb-ssd-amd-r-1485938/
Ноутбук Acer Extensa 15 EX215-22-R7EK,черный,42 050,41 020,https://www.citilink.ru/product/noutbuk-acer-extensa-15-ex215-22-r7ek-ryzen-3-3250u-4gb-ssd128gb-15-6-1843512/
Ноутбук Huawei MateBook D 14,серый,78 180,76 260,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-ryzen-5-5500u-8gb-ssd512gb-14-ips-fhd-window-1840848/
Ноутбук iRU Калибр 15Y,черный,68 320,66 630,https://www.citilink.ru/product/noutbuk-iru-kalibr-15y-i7-8550u-8gb-ssd256gb-620-15-6-ips-fhd-w11pro64-1827524/
Ноутбук HP 240 G8,черный,68 100,66 420,https://www.citilink.ru/product/noutbuk-hp-240-g8-i3-1005g1-8gb-ssd256gb-14-fhd-w10pro64-1808273/
Ноутбук Acer Extensa 15 EX215-54,черный,45 930,44 800,https://www.citilink.ru/product/noutbuk-acer-extensa-15-ex215-54-i3-1115g4-4gb-ssd256gb-15-6-ips-fhd-n-1793467/
Ноутбук Acer Aspire 5 A515-56,черный,50 990,49 730,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-56-i3-1115g4-8gb-ssd256gb-15-6-ips-fhd-noos-1793459/
Ноутбук Lenovo IP Gaming 3 15ACH6,черный,135 430,132 840,https://www.citilink.ru/product/noutbuk-lenovo-ip-gaming-3-15ach6-ryzen-7-5800h-16gb-ssd512gb-rtx-3060-1789286/
Ноутбук HP 250 G8,темно-серебристый,27 990,27 890,https://www.citilink.ru/product/noutbuk-hp-250-g8-cel-n4020-4gb-ssd256gb-15-6-sva-hd-free-dos-3-0-1840654/
Ноутбук HP 255 G8,темно-серебристый,31 990,31 890,https://www.citilink.ru/product/noutbuk-hp-255-g8-3020e-8gb-ssd256gb-15-6-fhd-free-dos-1840576/
Ноутбук HP 250 G8,серебристый,48 990,48 890,https://www.citilink.ru/product/noutbuk-hp-250-g8-i3-1005g1-8gb-ssd512gb-15-6-noos-1840573/
Ноутбук HP 250 G8,темно-серебристый,33 840,33 010,https://www.citilink.ru/product/noutbuk-hp-250-g8-cel-n4020-4gb-1tb-15-6-hd-noos-1840570/
